,sub,m1a_ll,m1b_ll,m1c_ll,m2a_ll,m2b_ll,m2c_ll
1.0,1.0,-8.320244441156387,0.0,0.0,-8.32024444115841,0.0,0.0
2.0,2.0,-4.088945302930692,0.0,0.0,-4.0889453029309974,0.0,0.0
3.0,3.0,-8.211244503656427,-3.6147556555103693,0.0,-8.211244503703554,-3.6147556555300966,0.0
4.0,4.0,-7.540904204829224,-3.6932779412610244,0.0,-7.1629216772125925,-2.0048879232994435e-09,0.0
5.0,5.0,-8.271570181591892,-2.6274538100796213e-12,-3.774758283725535e-15,-8.06046169078823,0.0,0.0
6.0,6.0,-6.7114597205207955,-6.498569042874269,-6.4880546578997675,-6.71145972055914,-6.498569042874296,-6.488054657999728
7.0,7.0,-11.737230333954004,-1.4759525935660732e-05,-2.3701017358553704e-07,-11.737230334035019,-5.524888944454645e-07,-4.782131766524431e-07
8.0,8.0,-10.33206054558591,-7.4055960850557865,-6.61101778831327,-9.71089114722652,-7.405596112047647,-6.316493948898069
9.0,9.0,-8.575894641733857,-0.8693878190113278,-1.4223658205790511e-05,-8.575894641864911,-0.8693878237814431,-9.512258433382608e-05
10.0,10.0,-10.940644098791601,-9.915123816760142,-9.772057933342351,-10.370105678497795,-9.806705256843042,-9.184126488267772
11.0,11.0,-8.399677438054564,-2.949692646005673,0.0,-8.239715428044576,-2.949692646118172,0.0
12.0,12.0,-11.373601597909625,-9.953290642058487,-9.932576536984554,-11.035427370156121,-9.882811658569782,-9.855378089132229
13.0,13.0,-4.888134022930581,-4.672899471919514,-4.519714939960736,-4.888134022956751,-4.672899471965403,-4.519714939979333
14.0,14.0,-8.016933920098094,-8.010975351980486,-0.37508520038200716,-8.016933920102181,-8.010975351986579,-0.01813720128241565
15.0,15.0,-12.370958941726553,-11.005075688644093,-8.54099928061612,-11.783502069519066,-10.7717811669301,-8.437604908914249
16.0,16.0,-12.465878341323604,-8.539194763577523,-8.466940565962812,-12.431692752779972,-8.31116550202561,-8.255314974825115
17.0,17.0,-1.758071994651966,-0.006567466953397581,-0.0015233412404896285,-1.7411737896839072,-1.633802485902415e-06,-8.149747764053897e-08
18.0,18.0,-10.241556706225099,-2.9809075740658137,-2.753420575657215,-10.209781806829406,-2.9809075740748403,-2.682505668497084
19.0,19.0,-5.968236247507275,-5.423229620766072,-5.167597388861949,-5.9682362475218484,-5.4232296207660555,-5.167597388880364
20.0,20.0,-10.254272284992235,-2.4993239047539046,-0.08881323689460037,-10.25427228509763,-2.4993239047575204,-3.478421722893612e-05
21.0,21.0,-12.428435270915793,-12.277410570062216,-12.104607216447231,-12.428435270920978,-12.234004376695085,-12.07676270327691
22.0,22.0,-8.52102614849855,-8.502868123754068,-7.051973906623507,-7.983759341593164,-7.768313526288373,-6.045334728968151
23.0,23.0,-11.055794614361798,-4.18446955318213e-09,-3.273514792593343e-11,-11.055794614370967,0.0,0.0
24.0,24.0,-2.2162145461400593,-2.196698803171786,-1.502068349634608e-05,-2.216214546140062,-2.1966988031719086,-1.708350411020416e-08
25.0,25.0,-10.275153581410247,-9.996029648092431,-9.15968828249147,-10.165182188417479,-9.877243368703748,-9.159688282498992
26.0,26.0,-10.749770175773545,-3.02489498171985,0.0,-10.087259732236006,-3.0248949817293305,0.0
27.0,27.0,-10.99850097943779,-10.96523003686047,-0.41498814894281577,-10.893028752489,-10.872192243185411,-0.0019382240039950934
28.0,28.0,-10.320239442331587,-8.19934706396952,-8.081723828689332,-10.32023944234253,-8.199347063970105,-8.081723828689334
29.0,29.0,-11.166564095880876,-8.070410441553197,-6.443644161598919,-9.2949124064272,-7.519982592284994,-6.186769165944949
30.0,30.0,-12.474516349695516,-12.153011711923506,-9.629666168086622,-12.465009896319339,-12.097789066986053,-9.505779352733137
31.0,31.0,-7.430665932614416,-5.148745600307162,-5.0496440252816965,-6.345978190342272,-4.707721006562222,-4.191362417758306
32.0,32.0,-6.3779027081407165,-2.5756314095117303,0.0,-6.377902708231387,-2.575631409511734,0.0
33.0,33.0,-9.037095000625701,-5.775754956383045,-5.75793443499998,-9.037095000642942,-4.954543958439495,-4.941930729279853
34.0,34.0,-11.214096132629786,-10.923888324914675,-6.2027420420384365,-11.214096132696957,-10.923888324919272,-6.20274204203885
35.0,35.0,-10.762130334207711,-9.166628350634534,-4.4560445320099955,-10.561183382197287,-9.16662835063637,-4.4560445320205675
36.0,36.0,-10.082910831403268,-10.01140791552942,-9.818780977725732,-9.389432187794762,-9.354328587761266,-8.626222802026783
37.0,37.0,-4.159091514452334,-2.810927057960031,0.0,-4.111512153696276,-2.81092705796379,0.0
38.0,38.0,-9.060496352433578,-1.2638868943235213,-1.1289528211838005,-9.00003802416404,-1.2542224130205497,-1.1289528211856197
39.0,39.0,-9.149739139438333,-8.893730917076166,-8.5830345935867,-9.14973913949517,-8.893730917105113,-8.583034593587918
40.0,40.0,-10.83127530458761,-10.016194901525669,-9.233707078846095,-10.831275304623933,-10.016194901916794,-9.23370707884633
41.0,41.0,-3.855340570414146,-0.0019361667354923606,0.0,-3.8553405704264816,-4.2355008389454205e-13,0.0
42.0,42.0,-1.1656079307295888,0.0,0.0,-1.165607930731253,0.0,0.0
43.0,43.0,-5.172663648164829,-2.662044339031927,0.0,-5.172663648462437,-2.6620443390631108,0.0
44.0,44.0,-11.740574022366307,-7.65155717411275,-3.6888223039510057,-11.740574022366838,-6.976362170215642,-3.4636826425378637
45.0,45.0,-6.174734906278848,0.0,0.0,-6.174734906284579,0.0,0.0
46.0,46.0,-3.934369427084354,0.0,0.0,-3.9343694271068568,0.0,0.0
47.0,47.0,-6.702796814240123,0.0,0.0,-6.702796814257007,0.0,0.0
48.0,48.0,-6.9956209801718225,0.0,0.0,-6.995620980413289,0.0,0.0
49.0,49.0,-9.137424449440143,-6.7271120446134365,-6.396031493322753,-8.317568256895466,-6.3161688468407,-6.179960469337737
50.0,50.0,-10.409030371993289,-6.953525834706424,-3.400523804860271,-9.258032129579313,-6.770957909695065,-3.4005238050262676
51.0,51.0,-3.5637837247051607,-3.5182795378599216,-3.509329833201661,-3.5637837247278066,-3.518279537865128,-3.5093298332587324
52.0,52.0,-12.133029688190836,-11.789167666833023,-10.409613889059182,-11.924490156746856,-11.713516736331318,-10.255490039982158
53.0,53.0,-8.973925146778598,-6.853606095358025,0.0,-8.973925146784893,-6.8536060953623466,0.0
54.0,54.0,-9.507954064311104,-8.207793859526078,-8.081551757004398,-8.595931426472024,-7.098881329744336,-6.814661963387083
55.0,55.0,-11.75851274261386,-11.621081203305,-3.7197762400468033,-11.74922832103736,-11.619377190620712,-3.0488062031074947
56.0,56.0,-12.399397222235073,0.0,0.0,-11.157775889807416,0.0,0.0
57.0,57.0,-9.171867562025605,-4.151465108124273,0.0,-9.171867562054967,-3.9284389708102263,0.0
58.0,58.0,-7.996143385214188,-7.885742390936362,-5.9152351391730615,-7.99614338523341,-7.885742391026929,-5.915235139213896
59.0,59.0,-11.056174004905525,-10.96046594661297,-10.304985514088305,-11.05617400490561,-10.960465946612626,-10.304985514122928
60.0,60.0,-1.8675460416346703,0.0,0.0,-1.867546041640499,0.0,0.0
61.0,61.0,-7.831029689585841,0.0,0.0,-6.9933011960848095,0.0,0.0
62.0,62.0,-11.360610810802504,-4.690287709271779,-4.653915723172339,-11.360610810804744,-4.5968323803113424,-4.588145435984659
63.0,63.0,-5.533306462773153,0.0,0.0,-5.533306462777328,0.0,0.0
64.0,64.0,-11.041340892984643,-7.3304956778422135,-7.2432486108185135,-10.212791169852508,-7.236075318177656,-7.097166913679366
65.0,65.0,-2.6658350540711,0.0,0.0,-2.416227795330258,0.0,0.0
66.0,66.0,-5.85630751864192,-5.801132636099017,-1.8481001655712663,-5.5455622110366045,-5.541878818898537,-1.848100165625406
67.0,67.0,-11.688179955334864,-9.302202988001643,-8.829211324208796,-11.677389180515727,-9.037973332557742,-7.4898012111537495
68.0,68.0,-4.584469875218184,-2.6649154138565168,-0.04334275658891408,-4.584469875218188,-2.6649154138565456,-0.04164558344636197
69.0,69.0,-11.651565727227121,-9.949824129951274,-4.52549695247109,-11.621579323602544,-9.758466116178262,-4.159637858493168
70.0,70.0,-6.932347617044072,-6.7283231067243925,-6.6967680477972085,-6.932347617073743,-6.70840909872853,-6.6851478308828
71.0,71.0,-11.12661979429383,-3.3323082443869616,-2.61901191366052,-9.869984914003066,-3.3323082444438104,-2.6190119137375474
72.0,72.0,-4.527194422576727,-4.3884257556347,-3.617985177670635,-4.52719442261999,-4.388425755685352,-3.617985177685502
73.0,73.0,-7.51934207208463,0.0,0.0,-7.5193420720879045,0.0,0.0
74.0,74.0,-6.859590373392654,0.0,0.0,-6.859590373394721,0.0,0.0
76.0,76.0,-10.571997083537468,-9.12440356150445,-6.944529100847,-10.571997083539358,-9.124403561505218,-6.9445291008824706
